NOT COMPLETELY ACCURATE DATA: County Name,Population (as of July 1 2019),No. of Cases (as of July 22nd),Percentage of Cases per population,Number of liscenced hospital beds,Employment as of december 2019,Average Per capita income,Avg. Temp. (April in Farenheit) ,Avg Temp. (May in Farenheit),Avg. Temp. (June in Farenheit),Percentage of Hispanic ,Hispanic Population,Percentage of Black/African American pop./total pop.,Black/African American Population,Percentage of Asians,Asian Population,Percent of population in poverty,Percentage of Jobs: Retail,Jobs: retail,Percentage of Pet ownership,Testing facilites for COVID,No. of Airports,Health Insurance: Percent of population of kids (under 19),Health Insurance: population of kids (under 19),Average household size,Classes Example
2,55917,886,1.5844913,85,1663,41618,63.2,70.9,78.4,2.988357745,1671,21.07409196,11784,1.173167373,656,13.80,2.974050825,1663,59.80,10,1,23.94799435,13391,2.59,1
3,36802,624,1.695560024,187,1811,35651,66,71.8,79,1.866746372,687,13.55361122,4988,0.5054073148,186,19.90,4.92092821,1811,59.80,10,2,21.88468018,8054,2.44,2
4,13750,210,1.527272727,93,251,36645,64.3,70.4,77.8,2.421818182,333,25.27272727,3475,1.105454545,152,19.50,1.825454545,251,59.80,11,1,22.47272727,3090,2.73,1
5,16474,129,0.7830520821,61,509,34966,60,67.9,76,2.033507345,335,12.62595605,2080,0.4734733519,78,23.50,3.08971713,509,59.80,8,2,21.00886245,3461,2.34,2
6,26271,161,0.6128430589,83,509,35192,67.1,72.4,79.7,4.168094096,1095,10.33839595,2716,0.3501960336,92,21.30,3.007118115,790,59.80,9,6,21.82634845,5734,2.5,1
7,658573,9400,1.427328481,4159,38452,54730,60.1,44.2,49.3,4.080489179,26873,44.21711792,291202,1.789626966,11786,17,5.83868455,38452,59.80,2,5,22.76649665,149934,2.47,2
8,372909,3792,1.016870067,1061,22896,51445,57.5,65.1,74.7,5.189469817,19352,26.16134231,97558,2.675719814,9978,13.20,6.139835724,22896,59.80,9,11,21.72942997,81031,2.4,1
9,413210,6473,1.566515815,1930,20556,38243,20,68.1,76.3,3.011301759,12443,37.16149174,153555,2.071343869,8559,19.28,4.974710196,20556,59.80,0,11,23.3711672,96572,2.6,2
10,226486,5397,2.382928746,1069,12752,43688,64,73.1,80.1,3.684112925,8344,60.24080959,136437,3.277906802,7424,20.10,5.630370089,12752,59.80,1,5,22.93784163,51951,2.45,1
11,279141,3985,1.42759394,342,12683,88890,55.4,62.3,75.2,17.06306132,47630,2.711532881,7569,4.165636721,11628,8.60,4.543581917,12683,69,11,15,25.49070183,71155,2.72,2
12,391911,3923,1.000992572,4324,25673,51185,59,67.3,76.7,6.249633208,24493,39.16297323,153484,2.259441557,8855,17.03,6.550721975,25673,69,9,9,23.01032632,90180,2.46,1
13,127827,1214,0.9497211074,1081,7979,42110,58.8,66.4,77.3,14.7566633,18863,8.514633059,10884,4.740000156,6059,15.60,6.242030244,7979,69,9,2,23.29320097,29775,2.48,2
14,239187,5350,2.236743636,990,12822,40247,55.5,62.4,74.7,17.14098174,40999,4.762382571,11391,2.632668163,6297,15.20,5.360659233,12822,69,9,4,23.59367357,56433,2.57,1
15,71887,2797,3.890828662,162,999,34355,50.5,61,68.6,6.588117462,4736,1.192148789,857,0.4799198742,345,37.30,1.389681027,999,58,9,4,24.04329016,17284,3.44,2
16,54018,600,1.110740864,50,1775,40267,59.4,69.8,75.4,18.91221445,10216,1.190343959,643,0.9052538043,489,20.40,3.285941723,1775,58,10,5,18.52160391,10005,2.42,1
17,9498,39,0.4106127606,,214,39855,56.1,66.7,73.4,47.65213729,4526,3.032217309,288,0.8317540535,79,10.50,2.253105917,214,58,10,2,26.75300063,2541,2.92,2
18,4485414,100543,2.241554514,11544,239749,47694,69.2,81,86,31.40969819,1408855,7.70348066,345533,4.630809999,207711,14.73,5.345080744,239749,58,10,38,22.34382378,1002213,2.76,1
19,1047279,13990,1.335842693,3727,43601,44028,66.3,77.2,82.4,37.75937453,395446,5.322172984,55738,3.349155287,35075,17.78,4.163264994,43601,58,11,10,19.74440431,206779,2.47,2
20,235099,1463,0.6222910348,385,9823,40312,57.2,68.7,74.5,14.7346437,34641,1.429610505,3361,1.252663771,2945,13.20,4.178239805,9823,58,5,17,14.8750101,34971,2.29,1
21,1671329,9643,0.5769659953,3464,73182,76644,57.6,65.1,69.5,22.32085963,373055,12.82763597,214392,32.33301163,540391,10.57,4.378671105,73182,40.10,7,4,21.16608998,353755,2.81,2
22,1153526,6202,0.5376558482,1696,43141,82506,58.9,66.9,71.4,26.04362624,300420,11.24352637,129697,18.30197152,211118,9.12,3.739924371,43141,40.10,10,4,23.18569326,267453,2.86,1
23,999101,11412,1.142226862,1902,40577,43084,53,61.8,67.9,53.76633594,537180,6.828338676,68222,11.14531964,111353,24.13,4.061351155,40577,40.10,9,24,27.94822545,279231,3.16,2
24,10039107,164870,1.642277545,24753,436276,62224,58.6,66.6,70.3,48.62952452,4881970,9.977182233,1001620,15.39424772,1545445,15.98,4.345765017,436276,40.10,10,21,21.84353648,2192896,3,1
25,1927852,8321,0.4316202696,4382,86104,107877,56.5,63.5,68.2,25.01737685,482298,3.707027303,71466,39.01959279,752240,7.92,4.466317954,86104,40.10,11,5,22.96400346,442712,2.97,2
26,447643,2982,0.6661558429,1519,18797,51664,60.9,67.7,72.9,27.27687018,122103,17.65737429,79042,16.15528446,72318,10.38,4.19910509,18797,40.10,9,5,22.51548667,100789,2.87,1
27,656590,6197,0.9438157754,1241,34323,60180,44.9,58.4,70,19.75068155,129681,13.59295755,89250,6.555993847,43046,9.01,5.227463105,34323,47.20,10,10,22.99166908,150961,2.66,2
28,727211,8650,1.189475957,3071,32695,79849,46,60,70.7,29.2877858,212984,11.30648464,82222,4.081896451,29684,10.92,4.495944093,32695,47.20,10,1,18.70227486,136005,2.31,1
29,720403,3786,0.5255391774,1412,32395,48467,44.5,57,67.4,17.73257468,127746,9.051183851,65205,3.146849749,22670,10.91,4.496788603,32395,47.20,7,16,23.47783116,169135,2.64,2
30,582881,3395,0.5824516497,641,30060,63536,41,54,63.5,15.58843057,90862,2.169224936,12644,3.09840259,18060,7.38,5.157141852,30060,47.20,10,3,19.87626977,115855,2.44,1
31,310000,1158,0.3735483871,742,19883,54188,38.2,50,59.3,13.71774194,42525,2.284193548,7081,2.741612903,8499,10.50,6.413870968,19883,47.20,11,11,22.29387097,69111,2.46,2
32,854757,12825,1.500426437,1721,42678,56650,45.4,56.8,69.4,19.14181457,163616,16.88713868,144344,4.330002562,37011,11.87,4.99299801,42678,49.90,10,3,20.61860856,176239,2.52,1
33,265206,1352,0.5097923878,419,14596,59264,44.4,56.4,68.4,11.10193585,29443,9.170607,24321,4.325316923,11471,9.80,5.503646222,14596,49.90,6,9,19.92451151,52841,2.39,2
34,150721,937,0.6216784655,209,4367,56614,43.7,56.2,67.9,5.879074582,8861,4.861963495,7328,5.048400687,7609,8,2.897406466,4367,49.90,9,3,18.12819713,27323,2.46,1
35,558753,6231,1.115161798,2156,30456,56745,51.1,60.1,73.1,10.41605146,58200,28.21461361,157650,5.786277658,32331,11.43,5.450708989,30456,57.90,8,6,21.48713295,120060,2.64,2
36,1952778,43747,2.240244411,6026,113772,50269,79,77.9,82.5,31.08300073,606982,31.82379154,621448,3.872278364,75617,13.49,5.826161499,113772,56,9,4,20.11396073,392781,2.65,1
37,957755,17979,1.877202416,3456,57495,46174,70.6,74.6,79.3,10.51792995,100736,32.44932159,310785,4.997311421,47862,15.47,6.003101002,57495,56,10,8,21.36851282,204658,2.55,2
38,1471968,24891,1.691001435,4471,76252,47000,74.9,77.7,83,29.68108002,436896,19.69295528,289874,4.448330398,65478,15.31,5.180275658,76252,56,9,9,21.31588458,313763,2.63,1
39,2716940,92345,3.398860483,7842,148228,50022,80,78.6,83.2,69.42972609,1886364,18.577775,504747,1.62355444,44111,18.04,5.455696482,148228,56,9,,19.64342238,533700,3.07,2
40,1496770,27506,1.837690494,4440,81500,79760,77.8,77.4,81.8,23.35589302,349584,20.97877429,314004,2.944607388,44074,12.82,5.445058359,81500,56,10,12,18.09369509,270821,2.6,1
41,974996,14191,1.455493151,3874,54472,53455,75,77.9,83.2,10.19573414,99408,12.30743511,119997,3.568322332,34791,13.05,5.586894715,54472,56,9,3,15.70909009,153163,2.31,2
42,289430,3723,1.28632139,1569,19784,47563,67.1,73.6,79.7,6.681062779,19337,42.58300798,123248,2.947863041,8532,14.40,6.835504267,19784,51.50,10,3,20.00138203,57890,2.54,1
43,760141,8966,1.17951801,1346,42740,57162,58.7,66,74.6,13.30305825,101122,30.45737567,231519,5.5990928,42561,10.01,5.622641063,42740,51.50,9,2,22.5673921,171544,2.65,2
44,759297,10203,1.343742962,2383,35166,50871,59.4,66.4,74.9,8.528546801,64757,56.22793189,426937,6.470853961,49133,16.58,4.631389298,35166,51.50,10,0,21.48566371,163140,2.63,1
45,1063937,14169,1.331751786,4682,64849,84386,59.2,66.3,74.8,7.215934778,76773,45.81098317,487400,7.603457724,80896,15.10,6.095191727,64849,51.50,10,3,20.59746019,219144,2.47,2
46,936250,14099,1.505901202,848,50697,41458,58.8,65.3,74,21.74878505,203623,31.60021362,295857,12.54622163,117464,11.37,5.414899866,50697,51.50,9,2,25.14606142,235430,3.11,1
47,104628,2410,2.303398708,282,5245,38752,57.6,65.3,74.9,36.33253049,38014,5.294949727,5540,1.639140574,1715,14.20,5.012998433,5245,51.50,9,2,23.53480904,24624,2.84,2
48,481587,6423,1.333715403,1351,29136,52958,50.6,58.7,64.2,8.522862951,41045,2.15765791,10391,2.726610145,13131,10.97,6.049997197,29136,69.90,9,12,23.67900296,114035,2.59,1
49,119062,394,0.3309200249,420,8053,48287,39.3,50.1,55.9,13.38798273,15940,1.280005375,1524,1.140582218,1358,10.60,6.763702945,8053,69.90,8,3,29.63833969,35288,2.84,2
50,229849,3598,1.565375529,343,8683,32680,51.6,59.8,65.5,25.64596757,58947,1.373510435,3157,1.06809253,2455,11.50,3.777697532,8683,69.90,10,11,26.40255124,60686,2.95,1
51,165697,1161,0.7006765361,434,8994,44987,44,51.8,57.6,4.940342915,8186,0.8998352414,1491,0.9215616457,1527,10.30,5.427979988,8994,69.90,8,11,21.81210281,36142,2.51,2
52,5150233,100124,1.944067385,19529,236336,62205,46.8,58.4,71.7,25.61598669,1319283,24.7897134,1276728,7.90573941,407164,15.14,4.588840932,236336,48.60,10,4,21.76926753,1121168,2.61,1
53,922921,10531,1.141051076,1928,59743,72889,46.8,58.6,71.7,14.57437852,134510,6.067691601,56000,12.73207566,117507,6.77,6.473251773,59743,48.60,9,0,23.36754717,215664,2.69,2
54,696535,11079,1.590587695,1119,41197,78559,44.9,56.8,69.9,22.43562779,156272,8.4277172,58702,8.445806743,58828,8.26,5.9145628,41197,48.60,10,6,24.70959823,172111,2.8,1
55,690743,7845,1.135733551,1023,31554,52953,46.9,58.7,72.5,18.15074492,125375,13.24153846,91465,6.045084786,41756,7,4.568124469,31554,48.60,11,8,25.49906405,176133,2.98,2
56,282572,3386,1.198278669,988,15083,43742,46.2,58.2,71.4,13.51160058,38180,15.83773339,44753,2.835383548,8012,16.10,5.337754625,15083,48.60,11,14,23.39474541,66107,2.46,1
57,602401,4158,0.690237898,1933,874,74010,53,61.9,77,7.922131603,47723,6.147400154,37032,5.351252737,32236,5.58,0.1450860805,874,62.80,8,7,24.62927518,148367,2.57,2
58,516042,3368,0.6526600548,2918,28417,53776,55.2,63.5,79.7,15.04528701,77640,11.32814771,58458,4.583735432,23654,13.96,5.506722321,28417,62.80,9,23,24.87995163,128391,2.58,1
59,176875,1237,0.6993639576,1263,9192,46861,53.4,62.4,78,12.8175265,22671,11.1044523,19641,1.562120141,2763,13.90,5.196890459,9192,62.80,10,5,23.46233216,41499,2.41,2
60,165429,3937,2.379872936,1376,7827,33315,52.8,62.2,77.4,29.84120076,49366,24.61297596,40717,5.430124102,8983,18.40,4.731334893,7827,62.80,10,0,26.13145216,43229,2.72,1
61,133581,871,0.6520388379,271,10860,48004,51.4,60.9,73.2,4.387600033,5861,4.885425322,6526,2.419505768,3232,6.40,8.129898713,10860,64.10,8,5,26.08379934,34843,2.76,2
62,323152,2205,0.6823414368,2185,21895,50180,50.7,61,71.5,7.414467495,23960,17.30393128,55918,4.142942021,13388,14.60,6.775449324,21895,64.10,9,3,20.74874981,67050,2.38,1
63,766757,5519,0.7197847558,3094,45723,51937,53.2,63.3,74.3,5.915172604,45355,24.06785983,184542,3.041641615,23322,14.78,5.963166949,45723,64.10,9,3,22.07166025,169236,2.42,2
64,166998,1100,0.6586905232,707,5649,57982,51.3,60.9,72.9,3.435370483,5737,6.373130217,10643,1.302410807,2175,10.40,3.382675242,5649,64.10,9,1,23.71345765,39601,2.55,1
65,440059,8919,2.026773683,2632,27364,51386,68.1,73.9,80,4.403954924,19380,48.07332653,211551,3.395681034,14943,18.27,6.218257097,27364,54.40,10,4,22.58060851,99368,2.62,2
66,432493,12812,2.962360084,2259,1258,51005,70.4,76.3,81.8,14.91977905,64527,29.19076147,126248,4.26966448,18466,15.46,6.304379493,27266,54.40,8,11,21.84798367,94491,2.56,1
67,390144,9586,2.457041503,2209,14771,52004,69.6,75.3,81.2,5.506684711,21484,61.14050197,238536,2.926868028,11419,24.58,3.786037976,14771,54.40,11,1,19.71169619,76904,2.44,2
68,260419,3954,1.518322396,1122,13767,62366,68.4,73.8,80,5.881291304,15316,13.71520511,35717,1.46648286,3819,11.80,5.286480633,13767,54.40,8,8,23.88496999,62201,2.72,1
69,212990,1644,0.7718672238,430,14941,74756,43.5,54.6,66.3,3.396873093,7235,4.478144514,9538,1.590685009,3388,8,7.014883328,14941,49.10,9,6,15.55284286,33126,2.24,2
70,124944,626,0.501024459,323,7698,56503,40.9,54,64.7,5.139902676,6422,5.135900884,6417,1.666346523,2082,11.30,6.1611602,7698,49.10,8,6,17.17489435,21459,2.18,1
71,565217,8761,1.55002415,1207,33801,54089,43.8,56.9,69,8.592805949,48568,7.548782149,42667,2.469317094,13957,11.49,5.980181063,33801,49.10,10,6,21.00839147,118743,2.51,2
72,17332,64,0.3692591738,25,1228,93726,43.4,54.9,66.5,3.87145165,671,6.237018232,1081,1.090468498,189,7.70,7.085160397,1228,49.10,9,3,17.86868221,3097,2.68,1
73,579234,6105,1.053978185,634,33251,67363,53.9,62.6,75.5,8.424574524,48798,20.09205261,116380,4.218847651,24437,6,5.74051247,33251,48.60,7,6,22.25939776,128934,2.65,2
74,827379,10153,1.227128076,6249,46298,61556,51,60.6,72.8,5.810396445,48074,32.00443811,264798,6.317056633,52266,9.24,5.595742701,46298,48.60,10,4,21.57064658,178471,2.58,1
75,1050688,16593,1.579250929,2166,44632,89690,51.5,60.8,72.6,20.06047466,210773,21.81427788,229200,15.59406789,163845,6.90,4.247883292,44632,48.60,8,3,23.37135287,245560,2.79,2
76,909327,20958,2.304781448,785,39770,49420,53.5,62.1,74.6,19.54489419,177727,66.47333687,604460,4.416563019,40161,8.87,4.373564185,39770,48.60,9,6,21.80744661,198301,2.87,1
77,108277,515,0.475631944,483,6612,41528,40.9,54,64.6,1.939470063,2100,5.675258827,6145,0.9364869732,1014,12.30,6.106560027,6612,63.50,8,8,20.82621425,22550,2.29,2
